slot,safety,mission_completion,power_autonomy,Observations
1,1.0,0.5,1.0,
2,1.0,0.5,1.0,
3,1.0,0.5,1.0,
4,1.0,0.5,1.0,
5,1.0,0.5,1.0,
6,1.0,0.5,1.0,
7,0.3529411764705882,0.9523809523809523,1.0,o13:o1:o14:o2:o17:o4:o8
8,0.35378938623012035,0.9519485094165456,1.0,
9,0.3546369976827496,0.9515158091991913,1.0,
10,0.35548400887806725,0.9510828544517151,1.0,
11,0.35633041787888764,0.9059411339429424,1.0,o6
12,0.35717622276120237,0.9052366481562297,1.0,
13,0.35802142161413425,0.904533391639383,1.0,
14,0.3588660125398899,0.9038313622074825,1.0,
15,0.35970999365371514,0.9031305576797468,1.0,
16,0.3605533630838476,0.9024309758795221,1.0,
17,0.36139611897147095,0.9017326146342732,1.0,
18,0.36223825947066873,0.9010354717755742,1.0,
19,0.19966332009490964,0.9003395451390981,1.0,o16
20,0.2003452232912996,0.8996448325646083,1.0,
21,0.20102762299665136,0.8989513318959483,1.0,
22,0.2017105154988606,0.8982590409810338,1.0,
23,0.36758891741624794,0.8141707816985462,1.0,o6:o10
24,0.3684275202376658,0.8131822723637812,1.0,
25,0.36926548839184875,0.8121981925154103,1.0,
26,0.37010282016454443,0.8112185126267129,1.0,
27,0.3709395138539044,0.8102432034374702,1.0,
28,0.37177556777043935,0.8092722359509614,1.0,
29,0.3726109802369737,0.8083055814309952,1.0,
30,0.3734457495886003,0.8073432113989871,1.0,
31,0.3742798741726347,0.8063850976310729,1.0,
32,0.3751133523485715,0.8054312121552598,1.0,
33,0.3759461824880371,0.8044815272486181,1.0,
34,0.37677836297474654,0.8035360154345095,1.0,
35,0.3776098922044576,0.8025946494798513,1.0,
36,0.3784407685849263,0.8016574023924183,1.0,
37,0.3792709905358615,0.8007242474181804,1.0,
38,0.21000614101048243,0.8887624288424583,1.0,o14:o2
39,0.21069341225286708,0.8880955077160404,1.0,
40,0.21138112727138364,0.8874297142408909,1.0,
41,0.21206928241322887,0.8867650466087267,1.0,
42,0.2127578740291935,0.8861015030135326,1.0,
43,0.2134468984737097,0.8854390816515616,1.0,
44,0.2141363521048989,0.8847777807213371,1.0,
45,0.21482623128461859,0.884117598423654,1.0,
46,0.21551653237850987,0.8834585329615829,1.0,
47,0.2162072517560437,0.8828005825404674,1.0,
48,0.21689838579056747,0.8821437453679302,1.0,
49,0.21758993085935058,0.8814880196538719,1.0,
50,0.21828188334363152,0.8808334036104726,1.0,
51,0.21897423962866175,0.8801798954521953,1.0,
52,0.21966699610375257,0.8795274933957855,1.0,
53,0.22036014916231889,0.8788761956602726,1.0,
54,0.22105369520192478,0.8782260004669726,1.0,
55,0.22174763062432729,0.8775769060394887,1.0,
56,0.22244195183552112,0.8769289106037115,1.0,
57,0.22313665524578194,0.8762820123878221,1.0,
58,0.22383173726971062,0.8756362096222918,1.0,
59,0.22452719432627613,0.8749915005398845,1.0,
60,0.22522302283885848,0.985832646137788,1.0,o1
61,0.2259192192352919,0.9856305515731707,1.0,
62,0.22661577994790685,0.9854271798300509,1.0,
63,0.2273127014135726,0.9852225336827272,1.0,
64,0.22800998007373907,0.9850166159205904,1.0,
65,0.2287076123744779,0.9848094293480312,1.0,
66,0.22940559476652483,0.9846009767843462,1.0,
67,0.23010392370531993,0.9843912610636449,1.0,
68,0.2308025956510486,0.9841802850347572,1.0,
69,0.23150160706868245,0.983968051561138,0.8235294117647058,o20
70,0.23220095442801914,0.9837545635207743,0.8236995321177195,
71,0.2329006342037226,0.9835398238060895,0.8238694884721045,
72,0.2336006428753621,0.98332383532385,0.8240392809859578,
73,0.23430097692745253,0.9831066009950682,0.8242089098172241,
74,0.23500163284949308,0.9828881237549094,0.824378375123696,
75,0.23570260713600624,0.9826684065525928,0.8245476770630139,
76,0.2364038962865756,0.9655004595305474,0.8247168157926664,o6
77,0.23710549680588558,0.965103757722559,0.8248857914699897,
78,0.23780740520375793,0.9647055561957054,0.8250546042521695,
79,0.23850961799519094,0.964305865984282,0.8252232542962383,
80,0.23921213170039538,0.963904698090676,0.8253917417590788,
81,0.23991494284483272,0.9635020634852611,0.8255600667974214,
82,0.24061804795925198,0.9630979731062914,0.8257282295678461,
83,0.24132144357972554,0.9626924378597994,0.8258962302267815,
84,0.24202512624768638,0.9622854686194948,0.8260640689305057,
85,0.24272909250996383,0.9618770762266657,0.826231745835146,
86,0.24343333891881935,0.9614672714900816,0.8263992610966789,
87,0.2441378620319818,0.9610560651858995,0.8265666148709311,
88,0.24484265841268293,0.9606434680575697,0.8267338073135788,
89,0.24554772462969268,0.9602294908157467,0.8269008385801482,
90,0.24625305725735328,0.9598141441381998,0.8270677088260153,
91,0.13160454683763925,0.9593974386697259,0.8272344182064065,o16
92,0.13212406924726014,0.958979385022066,0.827400966876399,
93,0.13264446632766472,0.9585599937738207,0.8275673549909195,
94,0.13316573576363328,0.9581392754703715,0.8277335827047465,
95,0.13368787523211312,0.9577172406237984,0.8278996501725085,
96,0.13421088240227283,0.9572938997128078,0.828065557548685,
97,0.13473475493555495,0.9568692631826528,0.8282313049876068,
98,0.13525949048572983,0.9564433414450626,0.8283968926434562,
99,0.13578508669894937,0.9560161448781703,0.8285623206702661,
100,0.13631154121380043,0.9555876838264443,0.8287275892219218,
101,0.13683885166135873,0.9551579686006191,0.8288926984521592,
102,0.13736701566524281,0.9547270094776317,0.829057648514567,
